web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103802-1","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","California Governor Loses Control as Hundreds of Gas Stations Shut Down | Elizabeth Davis","https://www.youtube.com/watch?v=e-MgyB_Mmp0"
"1768103802-2","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","'STUNNER': NYC exodus grows as Mamdani's polices take hold","https://www.youtube.com/watch?v=kD93vokCCos"
"1768103802-3","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","Watch his reaction when he’s told he’s a GOOD BOY for the first time 🥹","https://www.youtube.com/watch?v=xjV3CEBxOiQ"
"1768103802-4","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","WATCH: JD Vance has a message for Jasmine Crockett...","https://www.youtube.com/watch?v=-k7em-PkgJk&pp=0gcJCU0KAYcqIYzv"
"1768103802-5","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","Gavin Newsom sends capital SPRINTING out of California","https://www.youtube.com/watch?v=H29q5bjvs9A"
"1768103802-6","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","California Governor Responds After Thousands of Truckers Leave the State | Elizabeth Davis","https://www.youtube.com/watch?v=ey-Tpd3HdiY"
"1768103802-7","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","Tim Walz Exposed For Faking Financial Records In State Audit","https://www.youtube.com/watch?v=Louj7N3dKSw&pp=ugUEEgJlbg%3D%3D"
"1768103802-8","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","What Does the Law Say About the ICE Shooting in Minnesota?","https://www.youtube.com/watch?v=Y04ndAPynMk&pp=ugUEEgJlbg%3D%3D"
"1768103802-9","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","IRAN: Trump pledges support for protesters as demonstrations hit 2-week mark","https://www.youtube.com/watch?v=vs2s79qOrfE"
"1768103802-10","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","Jimmy Kimmel on the Awful ICE Shooting in Minneapolis & a Baseline of Decency Being Gone in America","https://www.youtube.com/watch?v=rG_EPeGz9IQ&pp=ugUHEgVlbi1VUw%3D%3D"
"1768103802-11","https://www.youtube.com/user/FoxNewsChannel/videos","Sen. John Kennedy: This is a 'TINDERBOX'","https://www.youtube.com/watch?v=24Dh_kLTM7k","Criminal referrals DETONATE as Minnesota fraud case spirals","https://www.youtube.com/watch?v=waHN9qz1i1o"
