web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103190-1","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Jon & Ronny on Maduro's Abduction, Trump's Oil Extortion & Minnesota ICE Shooting | The Daily Show","https://www.youtube.com/watch?v=iyj8hpOukfE"
"1768103190-2","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Pentagon Press Conference Cold Open - SNL","https://www.youtube.com/watch?v=WWG5YJPuGFo"
"1768103190-3","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Desi & Troy Recap MAGA’s Night of Flops at the Fox Nation Patriot Awards | The Daily Show","https://www.youtube.com/watch?v=xvyjsqFiDas"
"1768103190-4","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Top 20 Most Awkward Moments on Finding Your Roots","https://www.youtube.com/watch?v=nZH2TmwNwHM"
"1768103190-5","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","How Does Melania Trump Really Feel About Christmas?","https://www.youtube.com/watch?v=vQ25e66cZF8"
"1768103190-6","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Trump Proposes $1.5 Trillion Military Budget in 2027","https://www.youtube.com/watch?v=AHIYRXuVYDg"
"1768103190-7","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Venezuela: Last Week Tonight with John Oliver (HBO)","https://www.youtube.com/watch?v=IYfgvS0FA7U"
"1768103190-8","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","The Daily Show","https://www.youtube.com/watch?v=vzScfW2Jq5Y&pp=sAQB"
"1768103190-9","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","A Deeply Unserious India-Pakistan Summit with Kumail Nanjiani","https://www.youtube.com/watch?v=1tEiWe4NCYA"
"1768103190-10","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Espresso Martini - SNL","https://www.youtube.com/watch?v=6XtaXtFWURk"
"1768103190-11","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Trump Kidnaps President Maduro, Targets Venezuelan Oil & Ditches ""America First"" | The Daily Show","https://www.youtube.com/watch?v=HDSzUfMZRHE"
"1768103190-12","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","We Tried Trump's Cognitive Test","https://www.youtube.com/watch?v=eoyn48iqS7A&pp=0gcJCU0KAYcqIYzv"
"1768103190-13","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Michelle Obama on Gifts from Barack, Being Able to Drive Again & She Remembers Rob & Michele Reiner","https://www.youtube.com/watch?v=IqGNKbXBfPg&pp=ugUHEgVlbi1VUw%3D%3D"
"1768103190-14","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Lucy Liu - “Rosemead” | The Daily Show","https://www.youtube.com/watch?v=gD_6EMf1YRQ"
"1768103190-15","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Founding Fathers Cold Open - SNL","https://www.youtube.com/watch?v=oDtSQVj0qzg"
"1768103190-16","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Seth and Sabrina Carpenter Go Day Drinking","https://www.youtube.com/watch?v=GLq-fAxFUfQ&pp=0gcJCU0KAYcqIYzv"
"1768103190-17","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Who Said It?: President Trump vs. Cartoon Characters | The Tonight Show Starring Jimmy Fallon","https://www.youtube.com/watch?v=2x0zEMEw2-o"
"1768103190-18","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","New Barista Training - SNL","https://www.youtube.com/watch?v=Tn7g2cn7iBo"
"1768103190-19","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","Stephen Colbert Makes His Feelings About CBS Very Clear","https://www.youtube.com/watch?v=36Ik9CgC1m8"
"1768103190-20","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Trump's Award Tour: FIFA Peace Prize & Kennedy Center Honors | The Daily Show","https://www.youtube.com/watch?v=2wUKFdz_URU","The Best of Desi in 2025: Trump's Ass-Kissing Cabinet, MAGA's Pope Tantrum & More | The Daily Show","https://www.youtube.com/watch?v=DeGiFF99MvA"
"1768103200-21","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Fox News Clarifies Trump Loves “Miners” & Female Reporters Are on Trump’s S**t List | The Daily Show","https://www.youtube.com/watch?v=sj5ZsRflaP0","Trump Kidnaps President Maduro, Targets Venezuelan Oil & Ditches ""America First"" | The Daily Show","https://www.youtube.com/watch?v=HDSzUfMZRHE"
"1768103200-22","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Fox News Clarifies Trump Loves “Miners” & Female Reporters Are on Trump’s S**t List | The Daily Show","https://www.youtube.com/watch?v=sj5ZsRflaP0","Trump’s Venezuela Money Grab, Problem Falling Asleep in Meetings & Unarmed Woman Killed by ICE","https://www.youtube.com/watch?v=x03ZxnzfgNA&pp=ugUHEgVlbi1VUw%3D%3D"
"1768103200-23","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Fox News Clarifies Trump Loves “Miners” & Female Reporters Are on Trump’s S**t List | The Daily Show","https://www.youtube.com/watch?v=sj5ZsRflaP0","The Strange Math That Predicts (Almost) Anything","https://www.youtube.com/watch?v=KZeIEiBrT_w"
"1768103200-24","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Fox News Clarifies Trump Loves “Miners” & Female Reporters Are on Trump’s S**t List | The Daily Show","https://www.youtube.com/watch?v=sj5ZsRflaP0","How Does Melania Trump Really Feel About Christmas?","https://www.youtube.com/watch?v=vQ25e66cZF8"
"1768103200-25","https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA/videos","Fox News Clarifies Trump Loves “Miners” & Female Reporters Are on Trump’s S**t List | The Daily Show","https://www.youtube.com/watch?v=sj5ZsRflaP0","Venezuela: Last Week Tonight with John Oliver (HBO)","https://www.youtube.com/watch?v=IYfgvS0FA7U"
